"Gene","Plant","S1","S2","P"
"NR","C. bungeana","D@NCA@E","A@CA5@E",0.819541656500161
"NiR","C. bungeana","D@NCA@E","A@NCA@E",0.113464084536252
"NR","C. bungeana","D@NCA@E","A@NCA@E",1.27854586514219e-09
"NiR","C. bungeana","D@NCA@E","B@CA5@E",0.848302904124546
"NR","C. bungeana","D@NCA@E","B@CA5@E",0.00242143604803685
"NiR","C. bungeana","D@NCA@E","B@NCA@E",0.0292558523969997
"NR","C. bungeana","D@NCA@E","B@NCA@E",9.74418390742398e-10
"NiR","C. bungeana","D@NCA@E","C@CA5@E",1
"NR","C. bungeana","D@NCA@E","C@CA5@E",0.450145519158552
"NiR","C. bungeana","D@NCA@E","C@NCA@E",0.00513701951265432
"NR","C. bungeana","D@NCA@E","C@NCA@E",8.16584963349489e-09
